Jam,Line A_Good,Line A_Bad,Line B_Good,Line B_Bad,Line C_Good,Line C_Bad,Line D_Good,Line D_Bad
10,0,0,0,0,0,0,0,0
11,44,0,0,0,0,0,21,5
12,544,1,0,0,0,0,435,84
13,1,0,0,0,0,0,5,0
14,0,0,0,0,1,0,0,0
15,405,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,14,0,0,0,11,2,0,0
21,418,0,0,0,137,2,0,0
22,20,0,0,0,1,0,0,0
23,531,0,0,0,211,9,1,0
0,509,1,0,0,206,3,0,0
1,476,0,0,0,188,1,0,0
2,557,0,0,0,233,4,0,0
3,453,0,0,0,191,1,0,0
4,543,0,0,0,153,3,0,0
5,504,0,0,0,187,4,0,0
